pavimento,tipo,grupo_vaga,vagas,ocupada
1º Pavimento,DUPLO,1,01 - 02,FALSE
1º Pavimento,DUPLO,2,03 - 04,FALSE
1º Pavimento,DUPLO,3,05 - 06,FALSE
1º Pavimento,DUPLO,4,07 - 08,FALSE
1º Pavimento,DUPLO,5,09 - 10,FALSE
1º Pavimento,DUPLO,6,11 - 12,FALSE
1º Pavimento,DUPLO,7,13 - 14,FALSE
1º Pavimento,DUPLO,8,15 - 16,FALSE
1º Pavimento,PNE,9,17 - PNE3,FALSE
1º Pavimento,DUPLO,10,19 - 20,FALSE
1º Pavimento,DUPLO,11,21 - 22,FALSE
1º Pavimento,DUPLO,12,23 - 24,FALSE
1º Pavimento,DUPLO,13,25 - 26,FALSE
1º Pavimento,DUPLO,14,27 - 28,FALSE
1º Pavimento,DUPLO,15,29 - 30,FALSE
1º Pavimento,DUPLO,16,31 - 32,FALSE
1º Pavimento,DUPLO,17,33 - 34,FALSE
1º Pavimento,DUPLO,18,35 - 36,FALSE
1º Pavimento,DUPLO,19,37 - 38,FALSE
1º Pavimento,DUPLO,20,39 - 40,FALSE
1º Pavimento,DUPLO,21,41 - 42,FALSE
1º Pavimento,DUPLO,22,43 - 44,FALSE
1º Pavimento,TRIPLO,23,45 - 46 - 47,FALSE
1º Pavimento,TRIPLO,24,48 - 49 - 50,FALSE
1º Pavimento,TRIPLO,25,51 - 52 - 53,FALSE
1º Pavimento,TRIPLO,26,54 - 55 - 56,FALSE
1º Pavimento,TRIPLO,27,57 - 58 - 59,FALSE
1º Pavimento,TRIPLO,28,60 - 61 - 62,FALSE
1º Pavimento,TRIPLO,29,63 - 64 - 65,FALSE
1º Pavimento,TRIPLO,30,66 - 67 - 68,FALSE
1º Pavimento,TRIPLO,31,69 - 70 - 71,FALSE
1º Pavimento,TRIPLO,32,72 - 73 - 74,FALSE
1º Pavimento,TRIPLO,33,75 - 76 - 77,FALSE
1º Pavimento,TRIPLO,34,78 - 79 - 80,FALSE
1º Pavimento,TRIPLO,35,81 - 82 - 83,FALSE
1º Pavimento,TRIPLO,36,84 - 85 - 86,FALSE
1º Pavimento,TRIPLO,37,87 - 88 - 89,FALSE
1º Pavimento,TRIPLO,38,90 - 91 - 92,FALSE
1º Pavimento,TRIPLO,39,93 - 94 - 95,FALSE
1º Pavimento,DUPLO,40,96 - 97,FALSE
1º Pavimento,DUPLO,41,18 - 98,FALSE
TÉRREO,DUPLO,42,120 - 121,FALSE
TÉRREO,DUPLO,43,122 - 123,FALSE
TÉRREO,DUPLO,44,124 - 125,FALSE
TÉRREO,DUPLO,45,126 - 127,FALSE
TÉRREO,DUPLO,46,128 - 129,FALSE
TÉRREO,DUPLO,47,130 - 224,FALSE
TÉRREO,DUPLO,48,132 - 133,FALSE
TÉRREO,DUPLO,49,135 - 136,FALSE
TÉRREO,DUPLO,50,137 - 138,FALSE
TÉRREO,DUPLO,51,139 - 140,FALSE
TÉRREO,DUPLO,52,141 - 142,FALSE
TÉRREO,DUPLO,53,143 - 144,FALSE
TÉRREO,DUPLO,54,145 - 146,FALSE
TÉRREO,DUPLO,55,147 - 148,FALSE
TÉRREO,DUPLO,56,149 - 150,FALSE
TÉRREO,PNE,57,151 - PNE2,FALSE
TÉRREO,PNE,58,153 - PNE3,FALSE
TÉRREO,DUPLO,59,154 - 155,FALSE
TÉRREO,DUPLO,60,156 - 157,FALSE
TÉRREO,DUPLO,61,158 - 159,FALSE
TÉRREO,DUPLO,62,160 - 161,FALSE
TÉRREO,DUPLO,63,162 - 163,FALSE
TÉRREO,DUPLO,64,164 - 165,FALSE
TÉRREO,DUPLO,65,166 - 167,FALSE
TÉRREO,DUPLO,66,168 - 169,FALSE
TÉRREO,DUPLO,67,170 - 171,FALSE
TÉRREO,DUPLO,68,172 - 173,FALSE
TÉRREO,DUPLO,69,174 - 175,FALSE
TÉRREO,DUPLO,70,176 - 177,FALSE
TÉRREO,DUPLO,71,178 - 179,FALSE
TÉRREO,DUPLO,72,180 - 181,FALSE
TÉRREO,DUPLO,73,182 - 183,FALSE
TÉRREO,DUPLO,74,184 - 185,FALSE
TÉRREO,DUPLO,75,186 - 187,FALSE
TÉRREO,DUPLO,76,188 - 189,FALSE
TÉRREO,DUPLO,77,190 - 191,FALSE
TÉRREO,DUPLO,78,192 - 193,FALSE
TÉRREO,DUPLO,79,194 - 195,FALSE
TÉRREO,DUPLO,80,196 - 197,FALSE
TÉRREO,DUPLO,81,198 - 199,FALSE
TÉRREO,DUPLO,82,200 - 201,FALSE
TÉRREO,DUPLO,83,202 - 203,FALSE
TÉRREO,DUPLO,84,204 - 205,FALSE
TÉRREO,DUPLO,85,206 - 207,FALSE
TÉRREO,DUPLO,86,208 - 209,FALSE
TÉRREO,DUPLO,87,210 - 211,FALSE
TÉRREO,DUPLO,88,212 - 213,FALSE
TÉRREO,DUPLO,89,214 - 215,FALSE
TÉRREO,DUPLO,90,216 - 217,FALSE
TÉRREO,DUPLO,91,218 - 219,FALSE
TÉRREO,DUPLO,92,220 - 221,FALSE
TÉRREO,DUPLO,93,222 - 223,FALSE
TÉRREO,DUPLO,94,225 - 226,FALSE
TÉRREO,DUPLO,95,227 - 228,FALSE
TÉRREO,DUPLO,96,229 - 230,FALSE
TÉRREO,DUPLO,97,231 - 232,FALSE
TÉRREO,DUPLO,98,233 - 234,FALSE
TÉRREO,DUPLO,99,235 - 236,FALSE
TÉRREO,DUPLO,100,237 - 238,FALSE
SUBSOLO,DUPLO,101,01/Feb,FALSE
SUBSOLO,DUPLO,102,03/Apr,FALSE
SUBSOLO,DUPLO,103,05 - 105,FALSE
SUBSOLO,DUPLO,104,06/Jul,FALSE
SUBSOLO,DUPLO,105,08/Sep,FALSE
SUBSOLO,DUPLO,106,10/Nov,FALSE
SUBSOLO,DUPLO,107,Dec/13,FALSE
SUBSOLO,DUPLO,108,14 - 15,FALSE
SUBSOLO,DUPLO,109,16 - 102,FALSE
SUBSOLO,DUPLO,110,17 - 18,FALSE
SUBSOLO,DUPLO,111,19 - 20,FALSE
SUBSOLO,DUPLO,112,21 - 22,FALSE
SUBSOLO,DUPLO,113,23 - 24,FALSE
SUBSOLO,DUPLO,114,25 - 26,FALSE
SUBSOLO,DUPLO,115,27 - 28,FALSE
SUBSOLO,DUPLO,116,29 - 30,FALSE
SUBSOLO,DUPLO,117,31 - 32,FALSE
SUBSOLO,DUPLO,118,33 - 34,FALSE
SUBSOLO,DUPLO,119,36 - 37,FALSE
SUBSOLO,DUPLO,120,38 - 39,FALSE
SUBSOLO,DUPLO,121,40 - 41,FALSE
SUBSOLO,DUPLO,122,42 - 43,FALSE
